complaint,category,priority,department
Garbage burning smell near temple after rain.,Sanitation,Medium,sanitation
Public toilet is dirty in our area every morning.,Health & Hygiene,Medium,health
Manhole overflow near junction since morning.,Drainage & Sewage,Medium,drainage
Power cut in my street daily.,Electricity,Medium,electricity
Gas leak smell near temple every morning. Please respond fast.,Emergency,High,emergency
Kindly check and resolve the issue behind the apartment since morning.,General,Medium,general
Complaint about local problem near bridge from last month.,General,Medium,general
Street light not working in my street daily.,Street Lights,Medium,streetlights
Fire incident reported near bridge since yesterday. Need immediate help.,Emergency,High,emergency
Voltage fluctuation near park daily. Appliances are getting damaged.,Electricity,Medium,electricity
Cows blocking road behind the apartment since morning.,Animal Control,Medium,animals
Public toilet is dirty near park from last night.,Health & Hygiene,Medium,health
Waste dumped openly in my street for 3 days.,Sanitation,Medium,sanitation
There is a serious pothole near hospital for 1 week.,Road & Infrastructure,High,roads
Drain water stagnation near school for 3 days.,Drainage & Sewage,Medium,drainage
Building collapse risk near railway gate for 3 days. Please check urgently.,Emergency,High,emergency
Broken footpath at main road from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Drain water stagnation behind the apartment for many days.,Drainage & Sewage,Medium,drainage
Dog barking and chasing vehicles in 2nd street for 3 days.,Animal Control,Medium,animals
Accident happened near park for 1 week. Ambulance required.,Emergency,High,emergency
Manhole overflow near junction for many days.,Drainage & Sewage,Medium,drainage
Garbage is not collected near temple since yesterday.,Sanitation,Medium,sanitation
Dirty water is coming in tap near market from last night.,Water Supply,Medium,water
Drain water stagnation near bus stop from last night.,Drainage & Sewage,Medium,drainage
Dustbin overflowing in my street after rain.,Sanitation,Medium,sanitation
Waste dumped openly near bridge since morning.,Sanitation,Medium,sanitation
Stagnant water causing mosquitoes in our area from last month.,Health & Hygiene,Medium,health
Mosquito problem is dangerous near bus stop since morning. Dengue risk.,Health & Hygiene,High,health
Flickering street light near bridge from last month.,Street Lights,Medium,streetlights
Dog barking and chasing vehicles near bridge from last night.,Animal Control,Medium,animals
Gas leak smell behind the apartment daily. Please respond fast.,Emergency,High,emergency
Lamp post broken at main road from last night.,Street Lights,Medium,streetlights
Stray animals near school behind the apartment for 3 days.,Animal Control,Medium,animals
Dead animal not removed near school for 3 days.,Sanitation,Medium,sanitation
There is a continuous pothole near market after rain.,Road & Infrastructure,Medium,roads
Gas leak smell in 2nd street for 3 days. Please respond fast.,Emergency,High,emergency
Street lights are off near hospital for 3 days. Unsafe at night.,Street Lights,High,streetlights
Open manhole on the road in 2nd street for 1 week. Accident risk is high.,Road & Infrastructure,High,roads
Dustbin overflowing near market from last month.,Sanitation,Medium,sanitation
Broken footpath behind the apartment every morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Need help regarding civic issue near park every morning.,General,Medium,general
Public issue needs attention near bus stop since yesterday.,General,Medium,general
Need help regarding civic issue behind the apartment since yesterday.,General,Medium,general
Low water pressure near railway gate since yesterday.,Water Supply,Medium,water
Broken footpath near bus stop since yesterday. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Mosquito problem is very severe near bus stop for many days. Dengue risk.,Health & Hygiene,Medium,health
Dirty water is coming in tap behind the apartment daily.,Water Supply,Medium,water
Complaint about local problem near bridge from last night.,General,Medium,general
Stagnant water causing mosquitoes near park for many days.,Health & Hygiene,Medium,health
Transformer sparking near bridge for many days.,Electricity,High,electricity
Speed breaker damaged near bus stop since morning. Causing traffic issues.,Road & Infrastructure,Medium,roads
Cows blocking road near bridge after rain.,Animal Control,Medium,animals
Waste dumped openly near railway gate every morning.,Sanitation,Medium,sanitation
Street light not working near bridge for 3 days.,Street Lights,Medium,streetlights
Street light not working near market every morning.,Street Lights,Medium,streetlights
Kindly check and resolve the issue near temple since morning.,General,Medium,general
Broken footpath near hospital every morning. Pedestrians are getting hurt.,Road & Infrastructure,High,roads
Sewage overflow in my street for many days. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Open manhole on the road near junction from last night. Accident risk is high.,Road & Infrastructure,High,roads
Dirty water is coming in tap near hospital for 1 week.,Water Supply,High,water
Stagnant water causing mosquitoes at main road from last month.,Health & Hygiene,Medium,health
Power cut at main road from last month.,Electricity,Medium,electricity
Drain cover broken near junction for many days.,Drainage & Sewage,Medium,drainage
Drain cover broken behind the apartment since morning.,Drainage & Sewage,Medium,drainage
Sewage overflow near hospital for 1 week. Bad smell everywhere.,Drainage & Sewage,High,drainage
Electrocution hazard behind the apartment since morning. Very dangerous.,Emergency,High,emergency
Broken footpath in my street for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Bad smell and hygiene issue near bridge for many days.,Health & Hygiene,Medium,health
Public toilet is dirty near park daily.,Health & Hygiene,Medium,health
Drainage is blocked in our area daily. Water is overflowing.,Drainage & Sewage,Medium,drainage
Dead animal not removed in 2nd street every morning.,Sanitation,Medium,sanitation
Dirty water is coming in tap near railway gate since morning.,Water Supply,Medium,water
Mosquito problem is serious near junction from last month. Dengue risk.,Health & Hygiene,Medium,health
Mosquito problem is dangerous near park since morning. Dengue risk.,Health & Hygiene,High,health
Broken footpath in my street for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Fire incident reported near school for many days. Need immediate help.,Emergency,High,emergency
Drain cover broken near bridge since yesterday.,Drainage & Sewage,Medium,drainage
Broken footpath behind the apartment for 1 week. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Mosquito problem is massive near bus stop for 3 days. Dengue risk.,Health & Hygiene,Medium,health
Stray animals near school at main road for 1 week.,Animal Control,Medium,animals
Speed breaker damaged behind the apartment since yesterday. Causing traffic issues.,Road & Infrastructure,Medium,roads
Flickering street light in my street daily.,Street Lights,Medium,streetlights
Street lights are off near bus stop for 1 week. Unsafe at night.,Street Lights,Medium,streetlights
Public issue needs attention in 2nd street for 1 week.,General,Medium,general
There is a water pipeline leak near park from last night.,Water Supply,Medium,water
Mosquito problem is very severe near park for many days. Dengue risk.,Health & Hygiene,Medium,health
Road surface is damaged near railway gate daily. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Dirty water is coming in tap behind the apartment every morning.,Water Supply,Medium,water
Stagnant water causing mosquitoes near bridge since morning.,Health & Hygiene,Medium,health
Electrocution hazard behind the apartment after rain. Very dangerous.,Emergency,High,emergency
Fever cases increasing due to mosquitoes near junction since yesterday.,Health & Hygiene,Medium,health
Aggressive stray dog bite risk near temple after rain.,Animal Control,High,animals
Public toilet is dirty at main road after rain.,Health & Hygiene,Medium,health
Public toilet is dirty at main road since yesterday.,Health & Hygiene,Medium,health
Power cut in our area for 3 days.,Electricity,Medium,electricity
Dirty water is coming in tap near school for many days.,Water Supply,Medium,water
Dustbin overflowing behind the apartment for 3 days.,Sanitation,Medium,sanitation
Road surface is damaged behind the apartment for 1 week. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Stray dogs causing trouble near railway gate every morning.,Animal Control,Medium,animals
Stray animals near school near junction every morning.,Animal Control,Medium,animals
Open manhole on the road near park for 1 week. Accident risk is high.,Road & Infrastructure,High,roads
Fire incident reported behind the apartment for 3 days. Need immediate help.,Emergency,High,emergency
There is a very severe pothole behind the apartment from last night.,Road & Infrastructure,Medium,roads
Stagnant water causing mosquitoes at main road from last night.,Health & Hygiene,Medium,health
Waste dumped openly near hospital every morning.,Sanitation,High,sanitation
Water supply is not coming in our area from last month.,Water Supply,Medium,water
Dead animal not removed in 2nd street from last night.,Sanitation,Medium,sanitation
Stray dogs causing trouble in 2nd street for 3 days.,Animal Control,Medium,animals
Open manhole on the road near market from last month. Accident risk is high.,Road & Infrastructure,High,roads
Street lights are off in my street since morning. Unsafe at night.,Street Lights,Medium,streetlights
Aggressive stray dog bite risk near hospital after rain.,Animal Control,High,animals
Accident happened near railway gate for many days. Ambulance required.,Emergency,High,emergency
Cows blocking road near temple since morning.,Animal Control,Medium,animals
Gas leak smell near school after rain. Please respond fast.,Emergency,High,emergency
Need help regarding civic issue near railway gate after rain.,General,Medium,general
Mosquito problem is frequent in our area since yesterday. Dengue risk.,Health & Hygiene,Medium,health
Road surface is damaged behind the apartment for many days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Manhole overflow near junction daily.,Drainage & Sewage,Medium,drainage
Water overflow near pipeline in our area daily.,Water Supply,Medium,water
Waste dumped openly in 2nd street since yesterday.,Sanitation,Medium,sanitation
Request immediate action in our area for 1 week.,General,Medium,general
Multiple street lights damaged behind the apartment for 1 week.,Street Lights,Medium,streetlights
Manhole overflow behind the apartment every morning.,Drainage & Sewage,Medium,drainage
Fever cases increasing due to mosquitoes near school after rain.,Health & Hygiene,Medium,health
Cows blocking road near hospital after rain.,Animal Control,High,animals
Electrocution hazard near junction for many days. Very dangerous.,Emergency,High,emergency
Garbage is not collected near railway gate after rain.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles near bridge from last night.,Animal Control,Medium,animals
Electric pole wire loose in our area since yesterday.,Electricity,Medium,electricity
Speed breaker damaged in our area every morning. Causing traffic issues.,Road & Infrastructure,Medium,roads
Kindly check and resolve the issue in 2nd street for 3 days.,General,Medium,general
Accident happened near temple since yesterday. Ambulance required.,Emergency,High,emergency
Garbage is not collected in my street for 3 days.,Sanitation,Medium,sanitation
Drainage is blocked near bridge daily. Water is overflowing.,Drainage & Sewage,Medium,drainage
Water overflow near pipeline at main road since morning.,Water Supply,Medium,water
Mosquito problem is massive in my street every morning. Dengue risk.,Health & Hygiene,Medium,health
Waste dumped openly near market for 1 week.,Sanitation,Medium,sanitation
Mosquito problem is massive near bridge for 1 week. Dengue risk.,Health & Hygiene,Medium,health
Electric pole wire loose in my street after rain.,Electricity,Medium,electricity
Complaint about local problem near school after rain.,General,Medium,general
Broken footpath in 2nd street for 1 week. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Building collapse risk near bus stop for 3 days. Please check urgently.,Emergency,High,emergency
Flickering street light near bus stop every morning.,Street Lights,Medium,streetlights
Voltage fluctuation near hospital daily. Appliances are getting damaged.,Electricity,High,electricity
Cows blocking road in my street for 3 days.,Animal Control,Medium,animals
Stagnant water causing mosquitoes near bus stop every morning.,Health & Hygiene,Medium,health
There is a water pipeline leak near bus stop for many days.,Water Supply,Medium,water
Gas leak smell near bridge since yesterday. Please respond fast.,Emergency,High,emergency
Speed breaker damaged near bridge every morning. Causing traffic issues.,Road & Infrastructure,Medium,roads
Dirty water is coming in tap near railway gate every morning.,Water Supply,Medium,water
Complaint about local problem near school from last month.,General,Medium,general
Speed breaker damaged near junction after rain. Causing traffic issues.,Road & Infrastructure,Medium,roads
Drain water stagnation in my street every morning.,Drainage & Sewage,Medium,drainage
Lamp post broken in our area since yesterday.,Street Lights,Medium,streetlights
Dustbin overflowing in 2nd street for 3 days.,Sanitation,Medium,sanitation
Transformer sparking in my street after rain.,Electricity,High,electricity
There is a frequent pothole behind the apartment after rain.,Road & Infrastructure,Medium,roads
Stray dogs causing trouble in our area after rain.,Animal Control,Medium,animals
Stagnant water causing mosquitoes near school for 1 week.,Health & Hygiene,Medium,health
Public issue needs attention near market since morning.,General,Medium,general
Flickering street light at main road from last month.,Street Lights,Medium,streetlights
Bad smell and hygiene issue near junction daily.,Health & Hygiene,Medium,health
Electrocution hazard near market from last night. Very dangerous.,Emergency,High,emergency
Flickering street light near bridge since morning.,Street Lights,Medium,streetlights
Public toilet is dirty near railway gate since morning.,Health & Hygiene,Medium,health
Need help regarding civic issue near junction from last month.,General,Medium,general
Power cut near junction after rain.,Electricity,Medium,electricity
Request immediate action near hospital since morning.,General,High,general
Accident happened in my street after rain. Ambulance required.,Emergency,High,emergency
Building collapse risk near bus stop after rain. Please check urgently.,Emergency,High,emergency
Complaint about local problem near park from last night.,General,Medium,general
Accident happened near junction after rain. Ambulance required.,Emergency,High,emergency
Cows blocking road near temple for 1 week.,Animal Control,Medium,animals
Waste dumped openly near school for many days.,Sanitation,Medium,sanitation
Gas leak smell near hospital for 3 days. Please respond fast.,Emergency,High,emergency
Stagnant water causing mosquitoes near bus stop since morning.,Health & Hygiene,Medium,health
Complaint about local problem near junction for many days.,General,Medium,general
Lamp post broken in our area daily.,Street Lights,Medium,streetlights
Street lights are off in 2nd street after rain. Unsafe at night.,Street Lights,Medium,streetlights
Dirty water is coming in tap near temple every morning.,Water Supply,Medium,water
Broken footpath near school for 3 days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Power cut near temple daily.,Electricity,Medium,electricity
Accident happened at main road for 1 week. Ambulance required.,Emergency,High,emergency
Complaint about local problem in our area daily.,General,Medium,general
Electric pole wire loose near bridge after rain.,Electricity,Medium,electricity
Sewage overflow at main road after rain. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Public issue needs attention near bus stop for 3 days.,General,Medium,general
Public toilet is dirty near junction every morning.,Health & Hygiene,Medium,health
Manhole overflow at main road for 1 week.,Drainage & Sewage,Medium,drainage
Garbage burning smell at main road for 3 days.,Sanitation,Medium,sanitation
Public toilet is dirty in 2nd street from last month.,Health & Hygiene,Medium,health
Electric pole wire loose behind the apartment for many days.,Electricity,Medium,electricity
Fever cases increasing due to mosquitoes in our area since yesterday.,Health & Hygiene,Medium,health
Dead animal not removed near park from last month.,Sanitation,Medium,sanitation
Gas leak smell near temple for 1 week. Please respond fast.,Emergency,High,emergency
Electricity not available near bus stop for 3 days.,Electricity,Medium,electricity
Sewage overflow near market after rain. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Electric pole wire loose near temple after rain.,Electricity,Medium,electricity
Electrocution hazard in our area for 3 days. Very dangerous.,Emergency,High,emergency
Building collapse risk near railway gate from last night. Please check urgently.,Emergency,High,emergency
Dead animal not removed in our area since morning.,Sanitation,Medium,sanitation
Electrocution hazard near hospital every morning. Very dangerous.,Emergency,High,emergency
Garbage is not collected at main road daily.,Sanitation,Medium,sanitation
There is a dangerous pothole at main road from last night.,Road & Infrastructure,High,roads
Drain cover broken in our area from last night.,Drainage & Sewage,Medium,drainage
Dog barking and chasing vehicles in 2nd street every morning.,Animal Control,Medium,animals
Cows blocking road near school from last night.,Animal Control,Medium,animals
Request immediate action near bus stop from last night.,General,Medium,general
Building collapse risk near bus stop for 3 days. Please check urgently.,Emergency,High,emergency
Drain cover broken near bridge since yesterday.,Drainage & Sewage,Medium,drainage
Garbage is not collected in 2nd street daily.,Sanitation,Medium,sanitation
Mosquito problem is serious near bridge for 3 days. Dengue risk.,Health & Hygiene,Medium,health
Public issue needs attention near bus stop from last night.,General,Medium,general
Aggressive stray dog bite risk near junction for 3 days.,Animal Control,High,animals
Accident happened near hospital for 3 days. Ambulance required.,Emergency,High,emergency
Dead animal not removed at main road after rain.,Sanitation,Medium,sanitation
Accident happened near bridge every morning. Ambulance required.,Emergency,High,emergency
Mosquito problem is urgent near railway gate since yesterday. Dengue risk.,Health & Hygiene,Medium,health
Public toilet is dirty near school since morning.,Health & Hygiene,Medium,health
Dead animal not removed near hospital since morning.,Sanitation,High,sanitation
Water supply is not coming near hospital from last month.,Water Supply,High,water
Speed breaker damaged near junction daily. Causing traffic issues.,Road & Infrastructure,Medium,roads
Drain cover broken near railway gate since morning.,Drainage & Sewage,Medium,drainage
Multiple street lights damaged in 2nd street since yesterday.,Street Lights,Medium,streetlights
Stray dogs causing trouble near school from last month.,Animal Control,Medium,animals
Electrocution hazard in my street since morning. Very dangerous.,Emergency,High,emergency
Voltage fluctuation near hospital for 1 week. Appliances are getting damaged.,Electricity,High,electricity
Stray animals near school near hospital after rain.,Animal Control,High,animals
Sewage overflow near bus stop from last month. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Electricity not available near temple from last month.,Electricity,Medium,electricity
Dead animal not removed near park for 1 week.,Sanitation,Medium,sanitation
Request immediate action near junction for many days.,General,Medium,general
Cows blocking road near hospital since yesterday.,Animal Control,High,animals
There is a frequent pothole in our area daily.,Road & Infrastructure,Medium,roads
Dirty water is coming in tap near bus stop daily.,Water Supply,Medium,water
Fire incident reported in our area for 1 week. Need immediate help.,Emergency,High,emergency
Kindly check and resolve the issue behind the apartment since morning.,General,Medium,general
Building collapse risk near bus stop since morning. Please check urgently.,Emergency,High,emergency
Manhole overflow behind the apartment for many days.,Drainage & Sewage,Medium,drainage
Water supply is not coming in our area for 1 week.,Water Supply,Medium,water
Drainage is blocked near school every morning. Water is overflowing.,Drainage & Sewage,Medium,drainage
Dog barking and chasing vehicles near hospital after rain.,Animal Control,High,animals
Electrocution hazard behind the apartment after rain. Very dangerous.,Emergency,High,emergency
Accident happened near temple every morning. Ambulance required.,Emergency,High,emergency
Kindly check and resolve the issue in 2nd street after rain.,General,Medium,general
Stagnant water causing mosquitoes near bus stop since morning.,Health & Hygiene,Medium,health
Garbage burning smell in our area from last night.,Sanitation,Medium,sanitation
There is a frequent pothole near hospital after rain.,Road & Infrastructure,High,roads
Garbage is not collected near park daily.,Sanitation,Medium,sanitation
There is a continuous pothole near park for 1 week.,Road & Infrastructure,Medium,roads
Need help regarding civic issue in my street for 1 week.,General,Medium,general
Water overflow near pipeline near park every morning.,Water Supply,Medium,water
Broken footpath near market every morning. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Electric pole wire loose in my street since morning.,Electricity,Medium,electricity
Open manhole on the road near bridge for many days. Accident risk is high.,Road & Infrastructure,High,roads
Cows blocking road in our area since yesterday.,Animal Control,Medium,animals
There is a water pipeline leak near park from last night.,Water Supply,Medium,water
Aggressive stray dog bite risk near junction for 3 days.,Animal Control,High,animals
Street light not working near park for 3 days.,Street Lights,Medium,streetlights
There is a massive pothole near market daily.,Road & Infrastructure,Medium,roads
Fire incident reported near railway gate daily. Need immediate help.,Emergency,High,emergency
Garbage is not collected near junction for 1 week.,Sanitation,Medium,sanitation
Dead animal not removed at main road from last month.,Sanitation,Medium,sanitation
Flickering street light near school every morning.,Street Lights,Medium,streetlights
Low water pressure in our area since morning.,Water Supply,Medium,water
Multiple street lights damaged near market for 1 week.,Street Lights,Medium,streetlights
Broken footpath behind the apartment after rain. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Need help regarding civic issue near park since yesterday.,General,Medium,general
Stagnant water causing mosquitoes near bus stop since morning.,Health & Hygiene,Medium,health
Gas leak smell near park from last night. Please respond fast.,Emergency,High,emergency
Road surface is damaged near market from last night. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Electric pole wire loose near bus stop daily.,Electricity,Medium,electricity
Dirty water is coming in tap near school from last night.,Water Supply,Medium,water
Multiple street lights damaged in our area every morning.,Street Lights,Medium,streetlights
There is a water pipeline leak near railway gate for 1 week.,Water Supply,Medium,water
Street light not working near park from last night.,Street Lights,Medium,streetlights
Stray animals near school in 2nd street for 3 days.,Animal Control,Medium,animals
Open manhole on the road near park since morning. Accident risk is high.,Road & Infrastructure,High,roads
Dirty water is coming in tap near bridge after rain.,Water Supply,Medium,water
Garbage is not collected in my street from last night.,Sanitation,Medium,sanitation
Manhole overflow near temple after rain.,Drainage & Sewage,Medium,drainage
Drainage is blocked near junction every morning. Water is overflowing.,Drainage & Sewage,Medium,drainage
Water supply is not coming near park since morning.,Water Supply,Medium,water
Garbage is not collected near hospital for 1 week.,Sanitation,High,sanitation
Fire incident reported near school for 1 week. Need immediate help.,Emergency,High,emergency
Electric pole wire loose near hospital after rain.,Electricity,High,electricity
Waste dumped openly near temple since yesterday.,Sanitation,Medium,sanitation
Stray dogs causing trouble near railway gate for many days.,Animal Control,Medium,animals
Dirty water is coming in tap near hospital every morning.,Water Supply,High,water
Dustbin overflowing near junction for 3 days.,Sanitation,Medium,sanitation
Dog barking and chasing vehicles near temple since morning.,Animal Control,Medium,animals
There is a water pipeline leak near hospital since yesterday.,Water Supply,High,water
Electricity not available near park every morning.,Electricity,Medium,electricity
Request immediate action at main road after rain.,General,Medium,general
Sewage overflow near park daily. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Gas leak smell near temple after rain. Please respond fast.,Emergency,High,emergency
Road surface is damaged near market every morning. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Garbage burning smell at main road for 3 days.,Sanitation,Medium,sanitation
Manhole overflow near hospital for 1 week.,Drainage & Sewage,High,drainage
Power cut near park from last night.,Electricity,Medium,electricity
Dead animal not removed near railway gate from last night.,Sanitation,Medium,sanitation
Electricity not available near bus stop for 1 week.,Electricity,Medium,electricity
Power cut in our area for many days.,Electricity,Medium,electricity
Dog barking and chasing vehicles near market from last month.,Animal Control,Medium,animals
Bad smell and hygiene issue in 2nd street daily.,Health & Hygiene,Medium,health
Electricity not available behind the apartment after rain.,Electricity,Medium,electricity
Voltage fluctuation near railway gate from last night. Appliances are getting damaged.,Electricity,Medium,electricity
Dead animal not removed near hospital for many days.,Sanitation,High,sanitation
Water supply is not coming in our area daily.,Water Supply,Medium,water
Lamp post broken near junction since morning.,Street Lights,Medium,streetlights
Water overflow near pipeline near railway gate for many days.,Water Supply,Medium,water
Flickering street light near school from last night.,Street Lights,Medium,streetlights
Transformer sparking near bus stop for 3 days.,Electricity,High,electricity
Cows blocking road near hospital every morning.,Animal Control,High,animals
Garbage is not collected near bridge after rain.,Sanitation,Medium,sanitation
Stagnant water causing mosquitoes near park after rain.,Health & Hygiene,Medium,health
Electrocution hazard near railway gate daily. Very dangerous.,Emergency,High,emergency
Garbage is not collected in 2nd street since yesterday.,Sanitation,Medium,sanitation
Lamp post broken near bridge since morning.,Street Lights,Medium,streetlights
Bad smell and hygiene issue at main road since yesterday.,Health & Hygiene,Medium,health
Mosquito problem is very severe near junction after rain. Dengue risk.,Health & Hygiene,Medium,health
Stagnant water causing mosquitoes near park every morning.,Health & Hygiene,Medium,health
Open manhole on the road near bus stop from last month. Accident risk is high.,Road & Infrastructure,High,roads
Transformer sparking at main road from last month.,Electricity,High,electricity
Dirty water is coming in tap near bus stop after rain.,Water Supply,Medium,water
Street lights are off behind the apartment from last month. Unsafe at night.,Street Lights,Medium,streetlights
Drain water stagnation in our area for 1 week.,Drainage & Sewage,Medium,drainage
Sewage overflow behind the apartment from last month. Bad smell everywhere.,Drainage & Sewage,Medium,drainage
Water overflow near pipeline near railway gate daily.,Water Supply,Medium,water
Water supply is not coming near market from last month.,Water Supply,Medium,water
Street light not working in our area since yesterday.,Street Lights,Medium,streetlights
Road surface is damaged near temple for many days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Voltage fluctuation near market every morning. Appliances are getting damaged.,Electricity,Medium,electricity
Multiple street lights damaged near railway gate for 3 days.,Street Lights,Medium,streetlights
Street lights are off near junction after rain. Unsafe at night.,Street Lights,Medium,streetlights
Public issue needs attention at main road daily.,General,Medium,general
Low water pressure near junction since yesterday.,Water Supply,Medium,water
Broken footpath at main road for many days. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Street lights are off near hospital since morning. Unsafe at night.,Street Lights,High,streetlights
Flickering street light near junction from last month.,Street Lights,Medium,streetlights
There is a frequent pothole in my street every morning.,Road & Infrastructure,Medium,roads
Kindly check and resolve the issue near temple from last night.,General,Medium,general
There is a continuous pothole in 2nd street after rain.,Road & Infrastructure,Medium,roads
Garbage burning smell near bridge daily.,Sanitation,Medium,sanitation
Cows blocking road near bus stop from last night.,Animal Control,Medium,animals
Kindly check and resolve the issue near junction for 1 week.,General,Medium,general
Request immediate action behind the apartment for 3 days.,General,Medium,general
Mosquito problem is dangerous near market from last month. Dengue risk.,Health & Hygiene,High,health
Drain cover broken in our area from last night.,Drainage & Sewage,Medium,drainage
Electric pole wire loose at main road since yesterday.,Electricity,Medium,electricity
Bad smell and hygiene issue near market since morning.,Health & Hygiene,Medium,health
Building collapse risk near temple from last month. Please check urgently.,Emergency,High,emergency
Dirty water is coming in tap near bus stop from last night.,Water Supply,Medium,water
Stagnant water causing mosquitoes at main road daily.,Health & Hygiene,Medium,health
Need help regarding civic issue near school after rain.,General,Medium,general
Complaint about local problem in my street for 3 days.,General,Medium,general
Fire incident reported near junction daily. Need immediate help.,Emergency,High,emergency
Fever cases increasing due to mosquitoes near bridge every morning.,Health & Hygiene,Medium,health
Public issue needs attention near bus stop since morning.,General,Medium,general
Water overflow near pipeline at main road for 1 week.,Water Supply,Medium,water
Request immediate action near park every morning.,General,Medium,general
Road surface is damaged near school for many days. Vehicles are struggling to pass.,Road & Infrastructure,Medium,roads
Garbage burning smell behind the apartment for 1 week.,Sanitation,Medium,sanitation
Broken footpath near market since yesterday. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Water overflow near pipeline near bus stop every morning.,Water Supply,Medium,water
Electric pole wire loose in 2nd street since morning.,Electricity,Medium,electricity
There is a water pipeline leak near bridge since morning.,Water Supply,Medium,water
Flickering street light near hospital since yesterday.,Street Lights,High,streetlights
Stagnant water causing mosquitoes near bridge since morning.,Health & Hygiene,Medium,health
There is a water pipeline leak near bridge since yesterday.,Water Supply,Medium,water
Electricity not available near bus stop for many days.,Electricity,Medium,electricity
Accident happened near hospital every morning. Ambulance required.,Emergency,High,emergency
Drain cover broken near market after rain.,Drainage & Sewage,Medium,drainage
Dead animal not removed in our area for 3 days.,Sanitation,Medium,sanitation
Manhole overflow near railway gate since yesterday.,Drainage & Sewage,Medium,drainage
Public issue needs attention in 2nd street after rain.,General,Medium,general
Broken footpath behind the apartment from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Voltage fluctuation at main road every morning. Appliances are getting damaged.,Electricity,Medium,electricity
Street lights are off near junction from last month. Unsafe at night.,Street Lights,Medium,streetlights
Drainage is blocked near market after rain. Water is overflowing.,Drainage & Sewage,Medium,drainage
Low water pressure near junction from last month.,Water Supply,Medium,water
Dirty water is coming in tap near junction since yesterday.,Water Supply,Medium,water
Multiple street lights damaged near bridge for 1 week.,Street Lights,Medium,streetlights
Water overflow near pipeline near temple for 3 days.,Water Supply,Medium,water
Complaint about local problem near bus stop for 1 week.,General,Medium,general
Mosquito problem is serious behind the apartment since yesterday. Dengue risk.,Health & Hygiene,Medium,health
Flickering street light near junction since morning.,Street Lights,Medium,streetlights
Power cut in our area for many days.,Electricity,Medium,electricity
Stagnant water causing mosquitoes behind the apartment daily.,Health & Hygiene,Medium,health
Garbage burning smell in our area from last month.,Sanitation,Medium,sanitation
There is a water pipeline leak in our area from last night.,Water Supply,Medium,water
Need help regarding civic issue near school for 3 days.,General,Medium,general
Public toilet is dirty in my street every morning.,Health & Hygiene,Medium,health
Broken footpath near temple from last month. Pedestrians are getting hurt.,Road & Infrastructure,Medium,roads
Garbage burning smell behind the apartment since yesterday.,Sanitation,Medium,sanitation
Lamp post broken near junction every morning.,Street Lights,Medium,streetlights
Transformer sparking near bus stop daily.,Electricity,High,electricity
Open manhole on the road in our area every morning. Accident risk is high.,Road & Infrastructure,High,roads
Bad smell and hygiene issue at main road for 3 days.,Health & Hygiene,Medium,health
Power cut behind the apartment since morning.,Electricity,Medium,electricity
There is a water pipeline leak near bus stop from last month.,Water Supply,Medium,water
Stagnant water causing mosquitoes near junction every morning.,Health & Hygiene,Medium,health
Lamp post broken near park for 1 week.,Street Lights,Medium,streetlights
Stray dogs causing trouble in my street after rain.,Animal Control,Medium,animals
Speed breaker damaged near hospital from last night. Causing traffic issues.,Road & Infrastructure,High,roads
Gas leak smell near temple daily. Please respond fast.,Emergency,High,emergency
Dustbin overflowing near market from last night.,Sanitation,Medium,sanitation
Need help regarding civic issue near temple for many days.,General,Medium,general
Water supply is not coming near school for 1 week.,Water Supply,Medium,water
Dirty water is coming in tap near market from last month.,Water Supply,Medium,water
Dirty water is coming in tap near park for many days.,Water Supply,Medium,water
Mosquito problem is frequent near hospital since yesterday. Dengue risk.,Health & Hygiene,High,health
Dustbin overflowing in my street daily.,Sanitation,Medium,sanitation
Flickering street light in our area since morning.,Street Lights,Medium,streetlights
